"Sample"	"3.1-Dereplication"	"3.2-Denoising"	"4-ESV"
"01_T"	"31630 (12724 uniques)"	"30680 (247 uniques)"	"27569 (256 uniques)"
"02_T"	"25059 (10291 uniques)"	"24456 (185 uniques)"	"22474 (193 uniques)"
"03_T"	"11797 (4876 uniques)"	"11346 (159 uniques)"	"10643 (127 uniques)"
"04_T"	"33415 (15548 uniques)"	"32152 (291 uniques)"	"28566 (255 uniques)"
"05_T"	"35805 (15518 uniques)"	"34836 (265 uniques)"	"31721 (270 uniques)"
"06_T"	"25979 (8889 uniques)"	"25494 (174 uniques)"	"23831 (198 uniques)"
"07_T"	"33906 (12980 uniques)"	"33176 (215 uniques)"	"30990 (225 uniques)"
"08_T"	"37263 (14337 uniques)"	"36435 (222 uniques)"	"33777 (230 uniques)"
"09_T"	"20683 (8269 uniques)"	"20071 (155 uniques)"	"18488 (153 uniques)"
"100_AM21"	"129728 (48520 uniques)"	"125734 (1417 uniques)"	"117354 (1210 uniques)"
"100c"	"42475 (15760 uniques)"	"41717 (253 uniques)"	"39815 (283 uniques)"
"101c"	"35301 (15959 uniques)"	"33610 (376 uniques)"	"31685 (390 uniques)"
"102c"	"30025 (10772 uniques)"	"29538 (165 uniques)"	"28241 (209 uniques)"
"103c"	"29545 (10676 uniques)"	"28917 (242 uniques)"	"27581 (254 uniques)"
"104c"	"34250 (13147 uniques)"	"33491 (258 uniques)"	"31089 (251 uniques)"
"105c"	"19601 (9939 uniques)"	"18588 (334 uniques)"	"17434 (292 uniques)"
"106c"	"34423 (15865 uniques)"	"32610 (405 uniques)"	"30549 (386 uniques)"
"107c"	"61012 (26647 uniques)"	"58541 (548 uniques)"	"54470 (556 uniques)"
"108c"	"52556 (18545 uniques)"	"51874 (256 uniques)"	"49386 (274 uniques)"
"109c"	"41878 (15218 uniques)"	"41031 (276 uniques)"	"38849 (296 uniques)"
"10_AM21"	"67612 (21855 uniques)"	"65072 (754 uniques)"	"61566 (604 uniques)"
"10_MSCAII"	"13812 (6456 uniques)"	"13415 (174 uniques)"	"12873 (171 uniques)"
