sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
01_T	416	88	126	101	71	90	77	83	46	49	37	33	6	10	6	5	1	0
02_T	366	56	70	58	59	57	53	35	30	41	21	19	12	3	2	3	0	0
03_T	197	9	17	16	19	15	8	17	10	9	6	3	3	2	1	2	1	0
04_T	619	50	83	84	68	93	76	72	49	49	32	37	14	17	10	5	3	1
05_T	524	78	106	97	70	81	95	87	61	50	46	28	19	17	10	5	0	1
06_T	237	69	68	60	53	54	44	42	22	16	14	16	8	3	2	0	1	0
07_T	351	64	80	76	63	76	64	47	40	41	29	29	10	15	2	1	0	0
08_T	407	72	91	89	66	76	70	56	39	33	27	13	11	12	8	3	1	0
09_T	276	32	45	46	25	36	43	34	30	24	22	13	7	9	4	5	0	1
100_AM21	2195	143	223	241	220	216	191	158	156	149	104	104	62	47	29	22	5	5
100c	401	77	85	76	60	48	40	35	39	27	29	18	14	6	5	2	0	0
101c	523	75	60	33	19	32	45	25	18	12	20	10	8	8	8	3	0	3
102c	193	68	65	72	78	45	31	23	10	15	5	4	6	6	0	1	0	0
103c	261	57	77	54	47	31	18	20	18	11	6	14	6	4	4	0	0	0
104c	314	60	97	88	75	64	54	35	37	25	24	25	7	11	4	2	0	0
105c	347	34	27	21	12	14	28	22	17	12	5	5	6	5	0	1	0	1
106c	498	78	62	39	25	41	23	30	23	20	22	10	8	11	8	5	1	1
107c	868	141	114	66	70	88	83	55	39	38	35	23	19	28	13	5	5	1
108c	368	83	114	130	66	79	53	44	30	31	19	16	14	12	3	4	1	1
109c	375	75	75	64	62	69	65	39	29	27	16	18	13	8	5	3	0	0
10_AM21	1088	47	75	80	72	59	60	65	54	59	33	35	29	13	10	7	4	1
10_MSCAII	187	25	25	7	6	5	11	11	6	2	7	3	1	2	0	0	2	0
10_T	243	39	51	46	34	39	38	48	20	28	13	19	8	4	2	1	0	0
10c	608	80	103	82	48	78	61	46	35	39	30	27	15	14	7	7	5	0
10s	694	41	46	65	69	65	55	73	41	52	34	37	21	25	14	7	8	2
110c	534	97	72	47	39	43	45	41	23	26	24	16	15	11	5	2	0	1
111c	205	32	30	49	53	48	36	26	14	15	9	14	9	6	1	5	2	0
112c	202	49	53	53	61	45	32	26	15	17	12	6	4	3	0	1	0	0
113c	400	95	68	37	25	34	33	31	22	21	13	6	7	9	4	0	0	1
114c	263	65	68	68	47	57	38	38	34	15	17	14	10	5	2	0	0	0
115c	577	96	71	36	34	47	48	26	27	32	25	18	12	10	6	5	0	0
