"","Genus","Species"
"Otu00001",NA,NA
"Otu00002","Prochlorococcus","marinus"
"Otu00003",NA,NA
"Otu00004","Alteromonas","alvinellae/australica/gracilis/litorea/macleodii/marina/mediterranea/simiduii/tagae"
"Otu00005",NA,NA
"Otu00006",NA,NA
"Otu00007",NA,NA
"Otu00008",NA,NA
"Otu00009",NA,"aestuarianus/alginolyticus/antiquarius/atypicus/azureus/campbellii/coralliilyticus/diabolicus/fluvialis/fortis/galatheae/harveyi/hyugaensis/jasicida/mediterranei/midae/mytili/natriegens/neocaledonicus/nereis/owensii/parahaemolyticus/pelagius/qinhuangdaora/rotiferianus/sagamiensis/sonorensis/thiocycli/variabilis/vulnificus"
"Otu00011",NA,NA
"Otu00012",NA,NA
"Otu00013",NA,NA
"Otu00014",NA,NA
"Otu00015",NA,NA
"Otu00016",NA,NA
"Otu00017","Cupriavidus","campinensis/pauculus/plantarum/respiraculi/taiwanensis"
"Otu00018",NA,"aquimaris/marinistellae/seosinensis"
"Otu00019",NA,"americanum/arachidis/betae/broomeae/canariense/centrosemae/daqingense/denitrificans/diazoefficiens/elkanii/embrapense/erythrophlei/ferriligni/group/guangxiense/huanghuaihaiense/icense/ingae/iriomotense/japonicum/jicamae/lablabi/liaoningense/lupini/neotropicale/oligotrophicum/ottawaense/pachyrhizi/paxllaeri/retamae/stylosanthis/tropiciagri/valentinum/viridifuturi/yuanmingense"
"Otu00020",NA,NA
"Otu00021","Erythrobacter","citreus/flavus/nanhaisediminis/pelagi/piscidermidis"
"Otu00022","Pseudoalteromonas","aestuariivivens/agarivorans/arabiensis/atlantica/carrageenovora/chazhmella/distincta/donghaensis/elyakovii/espejiana/ganghwensis/gelatinilytica/haloplanktis/hodoensis/issachenkonii/lipolytica/luteoviolacea/mariniglutinosa/nigrifaciens/paragorgicola/porphyrae/profundi/prydzensis/shioyasakiensis/telluritireducens/tetraodonis/undina/whanghaensis/xishaensis"
