,0-RawData,1-FilterAndTrim,2-ErrorModel,3.1-Dereplication,3.2-Denoising,4-ESV,5-MultipleSequenceAlignment,6-ChimeraRemoval,7-PreClassification,8-Clustering_100,9-TaxaFilter_100,10-MultipletonsFilter_100,11-Subsampling_100,12-Lulu_100
01_T,36018,31630,31630,31630 (12724 uniques),30680 (247 uniques),27569 (256 uniques),27538 (221 uniques),25358 (181 uniques),25358 (181 uniques),25358 (181 uniques),25324 (179 uniques),25306 (169 uniques),4999 (152 uniques),4999 (114 uniques)
02_T,29215,25059,25059,25059 (10291 uniques),24456 (185 uniques),22474 (193 uniques),22474 (171 uniques),21302 (146 uniques),21302 (146 uniques),21302 (146 uniques),21302 (146 uniques),21297 (143 uniques),4999 (132 uniques),4999 (105 uniques)
03_T,14188,11797,11797,11797 (4876 uniques),11346 (159 uniques),10643 (127 uniques),10643 (123 uniques),10643 (123 uniques),10643 (123 uniques),10643 (123 uniques),10624 (121 uniques),10624 (121 uniques),4999 (118 uniques),4999 (113 uniques)
04_T,38732,33415,33415,33415 (15548 uniques),32152 (291 uniques),28566 (255 uniques),28554 (230 uniques),27560 (206 uniques),27560 (206 uniques),27560 (206 uniques),27527 (203 uniques),27527 (203 uniques),4999 (190 uniques),4999 (171 uniques)
05_T,42454,35805,35805,35805 (15518 uniques),34836 (265 uniques),31721 (270 uniques),31721 (234 uniques),29972 (193 uniques),29972 (193 uniques),29972 (193 uniques),29951 (192 uniques),29947 (190 uniques),4999 (170 uniques),4999 (137 uniques)
06_T,29059,25979,25979,25979 (8889 uniques),25494 (174 uniques),23831 (198 uniques),23831 (163 uniques),22524 (122 uniques),22524 (122 uniques),22524 (122 uniques),22524 (122 uniques),22524 (122 uniques),4999 (114 uniques),4999 (86 uniques)
07_T,41863,33906,33906,33906 (12980 uniques),33176 (215 uniques),30990 (225 uniques),30990 (193 uniques),29556 (159 uniques),29556 (159 uniques),29556 (159 uniques),29546 (158 uniques),29537 (152 uniques),4999 (136 uniques),4999 (108 uniques)
08_T,43104,37263,37263,37263 (14337 uniques),36435 (222 uniques),33777 (230 uniques),33777 (194 uniques),32542 (173 uniques),32542 (173 uniques),32542 (173 uniques),32536 (172 uniques),32529 (167 uniques),4999 (144 uniques),4999 (116 uniques)
09_T,24152,20683,20683,20683 (8269 uniques),20071 (155 uniques),18488 (153 uniques),18488 (135 uniques),17290 (114 uniques),17290 (114 uniques),17290 (114 uniques),17290 (114 uniques),17288 (113 uniques),4999 (106 uniques),4999 (82 uniques)
100_AM21,148182,129728,129728,129728 (48520 uniques),125734 (1417 uniques),117354 (1210 uniques),116732 (1162 uniques),112938 (1057 uniques),112938 (1057 uniques),112938 (1057 uniques),108685 (1026 uniques),108661 (1013 uniques),4999 (592 uniques),4999 (565 uniques)
100c,49494,42475,42475,42475 (15760 uniques),41717 (253 uniques),39815 (283 uniques),39773 (254 uniques),38798 (222 uniques),38798 (222 uniques),38798 (222 uniques),38790 (220 uniques),38788 (218 uniques),4999 (188 uniques),4999 (165 uniques)
101c,43275,35301,35301,35301 (15959 uniques),33610 (376 uniques),31685 (390 uniques),30903 (308 uniques),30389 (291 uniques),30389 (291 uniques),30389 (291 uniques),29865 (264 uniques),29855 (259 uniques),4999 (234 uniques),4999 (209 uniques)
102c,34475,30025,30025,30025 (10772 uniques),29538 (165 uniques),28241 (209 uniques),28241 (181 uniques),27664 (159 uniques),27664 (159 uniques),27664 (159 uniques),27661 (158 uniques),27660 (157 uniques),4999 (138 uniques),4999 (117 uniques)
103c,32651,29545,29545,29545 (10676 uniques),28917 (242 uniques),27581 (254 uniques),27577 (235 uniques),26940 (209 uniques),26940 (209 uniques),26940 (209 uniques),26881 (203 uniques),26877 (200 uniques),4999 (171 uniques),4999 (155 uniques)
104c,39642,34250,34250,34250 (13147 uniques),33491 (258 uniques),31089 (251 uniques),31089 (230 uniques),30035 (196 uniques),30035 (196 uniques),30035 (196 uniques),30019 (195 uniques),30014 (192 uniques),4999 (170 uniques),4999 (145 uniques)
105c,22062,19601,19601,19601 (9939 uniques),18588 (334 uniques),17434 (292 uniques),17315 (269 uniques),17234 (266 uniques),17234 (266 uniques),17234 (266 uniques),17073 (249 uniques),17047 (236 uniques),4999 (218 uniques),4999 (205 uniques)
106c,38758,34423,34423,34423 (15865 uniques),32610 (405 uniques),30549 (386 uniques),30461 (334 uniques),30137 (327 uniques),30137 (327 uniques),30137 (327 uniques),29306 (285 uniques),29300 (282 uniques),4999 (253 uniques),4999 (226 uniques)
107c,69760,61012,61012,61012 (26647 uniques),58541 (548 uniques),54470 (556 uniques),54371 (472 uniques),53259 (436 uniques),53259 (436 uniques),53259 (436 uniques),52420 (393 uniques),52400 (383 uniques),4999 (312 uniques),4999 (276 uniques)
108c,60185,52556,52556,52556 (18545 uniques),51874 (256 uniques),49386 (274 uniques),49357 (240 uniques),48099 (205 uniques),48099 (205 uniques),48099 (205 uniques),48059 (200 uniques),48054 (197 uniques),4999 (170 uniques),4999 (137 uniques)
109c,47280,41878,41878,41878 (15218 uniques),41031 (276 uniques),38849 (296 uniques),38826 (273 uniques),35713 (209 uniques),35713 (209 uniques),35713 (209 uniques),35707 (208 uniques),35704 (205 uniques),4999 (180 uniques),4999 (148 uniques)
10_AM21,76515,67612,67612,67612 (21855 uniques),65072 (754 uniques),61566 (604 uniques),61352 (588 uniques),60118 (547 uniques),60118 (547 uniques),60118 (547 uniques),59516 (529 uniques),59507 (524 uniques),4999 (365 uniques),4999 (356 uniques)
10_MSCAII,15358,13812,13812,13812 (6456 uniques),13415 (174 uniques),12873 (171 uniques),12852 (155 uniques),12783 (153 uniques),12783 (153 uniques),12783 (153 uniques),12735 (149 uniques),12731 (147 uniques),4999 (144 uniques),4999 (132 uniques)
10_T,27439,23403,23403,23403 (8998 uniques),22778 (157 uniques),21186 (155 uniques),21186 (135 uniques),20480 (122 uniques),20480 (122 uniques),20480 (122 uniques),20480 (122 uniques),20480 (122 uniques),4999 (110 uniques),4999 (93 uniques)
10c,51938,46756,46756,46756 (20088 uniques),45299 (468 uniques),42849 (444 uniques),42829 (412 uniques),40944 (356 uniques),40944 (356 uniques),40944 (356 uniques),40724 (342 uniques),40706 (333 uniques),4999 (282 uniques),4999 (259 uniques)
10s,22144,19243,19243,19243 (14773 uniques),16086 (496 uniques),10440 (325 uniques),10440 (316 uniques),10440 (316 uniques),10440 (316 uniques),10440 (316 uniques),10424 (312 uniques),10410 (305 uniques),4999 (303 uniques),4999 (269 uniques)
110c,45326,39569,39569,39569 (17862 uniques),38132 (364 uniques),35779 (379 uniques),35779 (321 uniques),35465 (309 uniques),35465 (309 uniques),35465 (309 uniques),35234 (293 uniques),35232 (292 uniques),4999 (254 uniques),4999 (226 uniques)
111c,27202,22515,22515,22515 (9639 uniques),21961 (159 uniques),20451 (157 uniques),20451 (146 uniques),19864 (125 uniques),19864 (125 uniques),19864 (125 uniques),19864 (125 uniques),19862 (124 uniques),4999 (114 uniques),4999 (102 uniques)
112c,35420,29517,29517,29517 (10109 uniques),28949 (172 uniques),27659 (180 uniques),27659 (164 uniques),26943 (132 uniques),26943 (132 uniques),26943 (132 uniques),26943 (132 uniques),26943 (132 uniques),4999 (118 uniques),4999 (108 uniques)
113c,45694,40712,40712,40712 (16462 uniques),39261 (319 uniques),37183 (350 uniques),37166 (291 uniques),36619 (279 uniques),36619 (279 uniques),36619 (279 uniques),36231 (256 uniques),36223 (252 uniques),4999 (214 uniques),4999 (188 uniques)
114c,45756,38276,38276,38276 (13982 uniques),37603 (184 uniques),35926 (214 uniques),35913 (181 uniques),35153 (161 uniques),35153 (161 uniques),35153 (161 uniques),35120 (156 uniques),35115 (153 uniques),4999 (135 uniques),4999 (114 uniques)
115c,53640,46602,46602,46602 (18672 uniques),45123 (366 uniques),42754 (401 uniques),42724 (343 uniques),41923 (322 uniques),41923 (322 uniques),41923 (322 uniques),41209 (292 uniques),41207 (291 uniques),4999 (249 uniques),4999 (221 uniques)
116c,58271,50785,50785,50785 (18355 uniques),50052 (258 uniques),46969 (317 uniques),46967 (281 uniques),45317 (232 uniques),45317 (232 uniques),45317 (232 uniques),45309 (230 uniques),45305 (228 uniques),4999 (181 uniques),4999 (145 uniques)
117c,57629,49907,49907,49907 (22260 uniques),48265 (414 uniques),45048 (426 uniques),45035 (360 uniques),44086 (329 uniques),44086 (329 uniques),44086 (329 uniques),43733 (309 uniques),43717 (301 uniques),4999 (252 uniques),4999 (222 uniques)
118c,40014,35672,35672,35672 (13456 uniques),35164 (203 uniques),33468 (232 uniques),33455 (206 uniques),32750 (173 uniques),32750 (173 uniques),32750 (173 uniques),32734 (170 uniques),32732 (169 uniques),4999 (145 uniques),4999 (124 uniques)
119c,32411,27874,27874,27874 (9422 uniques),27343 (150 uniques),26194 (158 uniques),26194 (140 uniques),25532 (120 uniques),25532 (120 uniques),25532 (120 uniques),25532 (120 uniques),25530 (119 uniques),4999 (103 uniques),4999 (86 uniques)
11_AM21,88672,78555,78555,78555 (22883 uniques),75859 (810 uniques),72058 (682 uniques),71942 (655 uniques),70419 (605 uniques),70419 (605 uniques),70419 (605 uniques),69924 (580 uniques),69911 (573 uniques),4999 (364 uniques),4999 (350 uniques)
11_MSCAII,4382,3784,3784,3784 (1678 uniques),3684 (69 uniques),3613 (74 uniques),3579 (68 uniques),3579 (68 uniques),3579 (68 uniques),3579 (68 uniques),3371 (60 uniques),3369 (59 uniques),/,/
11_MSCAII_repeat,47005,42761,42761,42761 (13755 uniques),42676 (133 uniques),42377 (180 uniques),42377 (133 uniques),42377 (133 uniques),42377 (133 uniques),42377 (133 uniques),37601 (115 uniques),37599 (114 uniques),4999 (107 uniques),4999 (77 uniques)
11_MSCAII_repeat_1_10_dilution,57,/,/,/,/,/,/,/,/,/,/,/,/,/
11_T,30239,25982,25982,25982 (9306 uniques),25533 (130 uniques),23578 (133 uniques),23578 (108 uniques),22228 (82 uniques),22228 (82 uniques),22228 (82 uniques),22225 (81 uniques),22225 (81 uniques),4999 (73 uniques),4999 (62 uniques)
11c,69709,60779,60779,60779 (26843 uniques),58576 (578 uniques),54951 (582 uniques),54922 (512 uniques),53824 (477 uniques),53824 (477 uniques),53824 (477 uniques),53467 (450 uniques),53457 (445 uniques),4999 (349 uniques),4999 (312 uniques)
11s,10269,9137,9137,9137 (6859 uniques),7716 (248 uniques),5930 (189 uniques),5930 (188 uniques),5913 (187 uniques),5913 (187 uniques),5913 (187 uniques),5908 (186 uniques),5906 (185 uniques),4999 (185 uniques),4999 (179 uniques)
12_AM21,106467,94629,94629,94629 (26900 uniques),91808 (807 uniques),87684 (644 uniques),87529 (634 uniques),85437 (578 uniques),85437 (578 uniques),85437 (578 uniques),84949 (557 uniques),84939 (552 uniques),4999 (341 uniques),4999 (332 uniques)
12_MSCAII,17334,15107,15107,15107 (6658 uniques),14860 (176 uniques),14184 (174 uniques),14174 (161 uniques),14174 (161 uniques),14174 (161 uniques),14174 (161 uniques),13973 (150 uniques),13973 (150 uniques),4999 (145 uniques),4999 (134 uniques)
