	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-Clustering_97	9-TaxaFilter_97	10-MultipletonsFilter_97	11-Subsampling_97	12-Lulu_97
01_T	36018	31630	31630	31630 (12724 uniques)	30680 (247 uniques)	27569 (256 uniques)	27538 (221 uniques)	25358 (181 uniques)	25358 (181 uniques)	25358 (101 uniques)	25324 (99 uniques)	25312 (93 uniques)	4999 (81 uniques)	4999 (81 uniques)
02_T	29215	25059	25059	25059 (10291 uniques)	24456 (185 uniques)	22474 (193 uniques)	22474 (171 uniques)	21302 (146 uniques)	21302 (146 uniques)	21302 (89 uniques)	21302 (89 uniques)	21298 (87 uniques)	4999 (81 uniques)	4999 (81 uniques)
03_T	14188	11797	11797	11797 (4876 uniques)	11346 (159 uniques)	10643 (127 uniques)	10643 (123 uniques)	10643 (123 uniques)	10643 (123 uniques)	10643 (93 uniques)	10624 (91 uniques)	10624 (91 uniques)	4999 (88 uniques)	4999 (88 uniques)
04_T	38732	33415	33415	33415 (15548 uniques)	32152 (291 uniques)	28566 (255 uniques)	28554 (230 uniques)	27560 (206 uniques)	27560 (206 uniques)	27560 (145 uniques)	27527 (142 uniques)	27527 (142 uniques)	4999 (124 uniques)	4999 (124 uniques)
05_T	42454	35805	35805	35805 (15518 uniques)	34836 (265 uniques)	31721 (270 uniques)	31721 (234 uniques)	29972 (193 uniques)	29972 (193 uniques)	29972 (120 uniques)	29951 (119 uniques)	29949 (118 uniques)	4999 (99 uniques)	4999 (99 uniques)
06_T	29059	25979	25979	25979 (8889 uniques)	25494 (174 uniques)	23831 (198 uniques)	23831 (163 uniques)	22524 (122 uniques)	22524 (122 uniques)	22524 (60 uniques)	22524 (60 uniques)	22524 (60 uniques)	4999 (58 uniques)	4999 (58 uniques)
07_T	41863	33906	33906	33906 (12980 uniques)	33176 (215 uniques)	30990 (225 uniques)	30990 (193 uniques)	29556 (159 uniques)	29556 (159 uniques)	29556 (99 uniques)	29546 (98 uniques)	29544 (97 uniques)	4999 (88 uniques)	4999 (88 uniques)
08_T	43104	37263	37263	37263 (14337 uniques)	36435 (222 uniques)	33777 (230 uniques)	33777 (194 uniques)	32542 (173 uniques)	32542 (173 uniques)	32542 (106 uniques)	32536 (105 uniques)	32536 (105 uniques)	4999 (86 uniques)	4999 (86 uniques)
09_T	24152	20683	20683	20683 (8269 uniques)	20071 (155 uniques)	18488 (153 uniques)	18488 (135 uniques)	17290 (114 uniques)	17290 (114 uniques)	17290 (79 uniques)	17290 (79 uniques)	17288 (78 uniques)	4999 (71 uniques)	4999 (71 uniques)
100_AM21	148182	129728	129728	129728 (48520 uniques)	125734 (1417 uniques)	117354 (1210 uniques)	116732 (1162 uniques)	112938 (1057 uniques)	112938 (1057 uniques)	112938 (881 uniques)	108685 (850 uniques)	108664 (839 uniques)	4999 (459 uniques)	4999 (457 uniques)
