Moorea Code,Sample ID,RunID,uM Carbon,CV % Mean,,Box #,
,Mu. RTA.t3.1,M73,262.42,1.26,,2,
,Mu. RTA t3.2,M74,257.61,1.13,,2,
,Mu. RTA t3.3,M75,175.47,2.06,,2,
,Mu. PDE t3.2,M76,102.72,0.98,,2,
,Mu. PDE t3.1,M77,94.53,1.08,,2,
,Mu. PDE t3.3,M78,93.34,1.34,,2,
,Mu. DMP t3.2,M79,91.37,1.21,,2,
,Mu. DMP t3.1,M80,95.32,1.98,,2,
,Mu. DMP t3.3,M81,97.25,0.05,,2,
,Mu. TMG t3.1,M82,176.84,1.75,,2,
,Mu. TMG t3.3,M83,110.10,1.67,,2,
,Mu. TMG t3.2,M84,120.80,1.05,,2,
,Mu. DMP t0,M85,109.89,0.96,,2,
,Mu. HPA t0,M86,24786.01,0.82,,2,
,Mu. CTH CTRL-1,M87,24772.86,0.68,,2,
,Mu. CTH CTRL-2,M88,167.21,7.84,,2,
,Mu. DLC t1-3,M89,105.01,0.75,,2,
,Mu. DLC CTRL 1,M90,2125.50,0.65,,2,
,Mu. TMG t0,M91,122.88,0.93,,2,
,Mu. CTH t2.3,M92,169.33,0.70,,2,
,Mu. HXC t0,M93,139.02,0.66,,2,
,Mu. DCL t1.2,M94,118.93,1.57,,2,
,Mu. DIT t0,M95,118.29,0.55,,2,
,Mu. NOT CTRL1,M96,934.59,0.80,,2,
,Mu. PDE t0,M97,102.85,0.96,,2,
,Mu. CTH t2.2,M98,176.97,1.59,,2,
,Mu. CTH CTRL3,M99,24049.93,0.41,,2,
,Mu. NOT t1.3,M100,183.38,0.17,,2,
,Mu. NOT t1.2,M101,181.22,0.48,,2,
,Mu. HPA t3.3,M102,343.89,0.41,,2,
,Mu. RTA t0,M103,230.03,0.61,,2,
,Mu. CTM t2.1,M104,212.08,0.76,,2,
,Mu. DLC t1.1,M105,142.80,0.74,,2,
,Mu. HXC t3.1,M106,142.90,1.17,,2,
,Mu. DIT t3.3,M107,103.39,0.46,,2,
,Mu. QCA CTRL-2,M108,610.57,0.36,,2,
,Mu. DLC CTRL-2,M109,2384.59,0.28,,2,
,Mu. DLC CTRL-3,M110,2414.68,0.37,,2,
,Mu. NOT t1.1,M111,205.20,0.83,,2,
,Mu. QCA CTRL-3,M112,609.18,0.62,,2,
,Mu. HXC t3.2,M113,148.37,1.10,,2,
,Mu. HPA t3.1,M114,335.05,0.64,,2,
,Mu. NOT CTRL-2,M115,1029.63,0.19,,2,
,Mu. NOT CTRL-3,M116,615.64,0.47,,2,
,Mu. DIT t3.1,M117,97.82,1.31,,2,
,Mu. QCA t3.3,M118,159.65,1.65,,2,
,Mu. DIT t3.2,M119,98.98,1.38,,2,
,Mu. HPA t3.2,M120,325.92,0.82,,2,
,Mu. HXC t3.3,M121,128.16,1.01,,2,
,Mu. HPA CTRL3,M122,21881.99,0.11,,2,
,Mu. HXC CTRL3,M123,96.83,1.13,,2,
,Mu. QCA t3.1,M124,160.59,1.08,,2,
,Mu. QCA CTRL1,M125,630.14,0.64,,2,
,Mu. ABA t3.2,M126,131.36,0.99,,2,
,Mu. QCA t3.2,M127,151.35,1.28,,2,
,Mu. HXL CTRL2,M128,85.03,1.64,,2,
,Mu. HPA CTRL2,M129,21799.34,0.15,,2,
,Mu. ABA t3.3,M130,147.25,0.91,,2,
,Mu. ABA CTRL2,M131,34998.50,0.19,,2,
,Mu. HXC CTRL1,M132,325.18,3.17,,2,
,Mu. ABA t3.1,M133,462.47,1.81,,2,
,Mu. HPA CTRL1,M134,21298.49,0.34,,2,
,Mu. ABA CTRL3,M135,34851.39,0.29,,2,
,Mu. ABA CTRL1,M136,34434.83,0.27,,2,
,Mu. QCA t0,M137,174.61,0.67,,2,
,Mu. AMBT t0,M138,95.96,0.97,,2,
Mo22_0236,Mu_CTR_DOC_M,M139,176.42,0.53,,2,
Mo22_0237,Mu_CTH_DOC_S,M140,174.52,1.63,,2,
