MooreaCode,sampleID,rep,treatment,stage
Mo22_0338,TURNT_039,B1,blank,remin_T0
Mo22_0339,TURNT_040,B2,blank,remin_T0
Mo22_0340,TURNT_041,B3,blank,remin_T0
Mo22_0341,TURNT_042,C1,control,remin_T0
Mo22_0342,TURNT_043,C2,control,remin_T0
Mo22_0343,TURNT_044,C3,control,remin_T0
Mo22_0344,TURNT_045,N1,nutrient,remin_T0
Mo22_0345,TURNT_046,N2,nutrient,remin_T0
Mo22_0346,TURNT_047,N3,nutrient,remin_T0
Mo22_0347,TURNT_048,R1,recharge,remin_T0
Mo22_0348,TURNT_049,R2,recharge,remin_T0
Mo22_0349,TURNT_050,R3,recharge,remin_T0
Mo22_0350,TURNT_051,B1,blank,remin_TF
Mo22_0351,TURNT_052,B2,blank,remin_TF
Mo22_0352,TURNT_053,B3,blank,remin_TF
Mo22_0353,TURNT_054,C1,control,remin_TF
Mo22_0354,TURNT_055,C2,control,remin_TF
Mo22_0355,TURNT_056,C3,control,remin_TF
Mo22_0356,TURNT_057,N1,nutrient,remin_TF
Mo22_0357,TURNT_058,N2,nutrient,remin_TF
Mo22_0358,TURNT_059,N3,nutrient,remin_TF
Mo22_0359,TURNT_060,R1,recharge,remin_TF
Mo22_0360,TURNT_061,R2,recharge,remin_TF
Mo22_0361,TURNT_062,R3,recharge,remin_TF
Mo22_0350,TURNT_051,B1,blank,remin_TF
Mo22_0351,TURNT_052,B2,blank,remin_TF
Mo22_0352,TURNT_053,B3,blank,remin_TF
Mo22_0353,TURNT_054,C1,control,remin_TF
Mo22_0354,TURNT_055,C2,control,remin_TF
Mo22_0355,TURNT_056,C3,control,remin_TF
Mo22_0356,TURNT_057,N1,nutrient,remin_TF
Mo22_0357,TURNT_058,N2,nutrient,remin_TF
Mo22_0358,TURNT_059,N3,nutrient,remin_TF
Mo22_0359,TURNT_060,R1,recharge,remin_TF
Mo22_0360,TURNT_061,R2,recharge,remin_TF
Mo22_0361,TURNT_062,R3,recharge,remin_TF
Mo22_0350,TURNT_051,B1,blank,remin_TF
Mo22_0351,TURNT_052,B2,blank,remin_TF
Mo22_0352,TURNT_053,B3,blank,remin_TF
Mo22_0353,TURNT_054,C1,control,remin_TF
Mo22_0354,TURNT_055,C2,control,remin_TF
Mo22_0355,TURNT_056,C3,control,remin_TF
Mo22_0356,TURNT_057,N1,nutrient,remin_TF
Mo22_0357,TURNT_058,N2,nutrient,remin_TF
Mo22_0358,TURNT_059,N3,nutrient,remin_TF
Mo22_0359,TURNT_060,R1,recharge,remin_TF
Mo22_0360,TURNT_061,R2,recharge,remin_TF
Mo22_0361,TURNT_062,R3,recharge,remin_TF
