Datetime,Time (rel/ms),Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Y (II),1:ETR,1:Fv/Fm
,0,,,D,,"Device Nr: #1, JUNIOR-PAM-II (CFMG0361A) ",,,,,
2022-04-04 10:06:18,0,2022-04-04,10:06:17,SLCS,,Light Curve start ,,,,,
2022-04-04 10:06:18,0,2022-04-04,10:06:17,REG1,,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.024, ETRmPot: 56.631 ) ",,,,,
2022-04-04 10:06:18,0,2022-04-04,10:06:17,REG2,,"#1: alpha: 0.270, ETRm: 69.925, Ik: 259.097 ",,,,,
2022-04-04 10:06:19,1718,2022-04-04,10:06:19,FO,1,84,355,0,0.763,0,0.763
2022-04-04 10:06:30,12021,2022-04-04,10:06:29,F,2,125,370,45,0.662,12.5,0.763
2022-04-04 10:06:40,22323,2022-04-04,10:06:39,F,3,124,357,66,0.653,18.1,0.763
2022-04-04 10:06:50,32619,2022-04-04,10:06:50,F,4,126,362,90,0.652,24.6,0.763
2022-04-04 10:07:01,42918,2022-04-04,10:07:00,F,5,127,351,125,0.638,33.5,0.763
2022-04-04 10:07:11,53217,2022-04-04,10:07:10,F,6,149,339,190,0.56,44.7,0.763
2022-04-04 10:07:21,63519,2022-04-04,10:07:21,F,7,177,315,285,0.438,52.4,0.763
2022-04-04 10:07:31,73816,2022-04-04,10:07:31,F,8,176,270,420,0.348,61.4,0.763
2022-04-04 10:07:42,84114,2022-04-04,10:07:41,F,9,168,232,625,0.276,72.5,0.763
2022-04-04 10:07:45,87356,2022-04-04,10:07:44,SLCE,,Light Curve end ,,,,,
2022-04-04 10:11:37,319053,2022-04-04,10:11:36,SLCS,,Light Curve start ,,,,,
2022-04-04 10:11:37,319053,2022-04-04,10:11:36,REG1,,"#1: alpha: 0.247, ETRm: 89.161, Ik: 361.026   ( beta: 1.008, ETRmPot: 1108.512 ) ",,,,,
2022-04-04 10:11:37,319053,2022-04-04,10:11:36,REG2,,"#1: alpha: 0.218, ETRm: 88.382, Ik: 404.516 ",,,,,
2022-04-04 10:11:38,320784,2022-04-04,10:11:38,FO,10,81,284,0,0.715,0,0.715
2022-04-04 10:11:49,331074,2022-04-04,10:11:48,F,11,127,273,45,0.535,10.1,0.715
2022-04-04 10:11:59,341373,2022-04-04,10:11:58,F,12,118,245,66,0.518,14.4,0.715
2022-04-04 10:12:09,351673,2022-04-04,10:12:09,F,13,110,230,90,0.522,19.7,0.715
2022-04-04 10:12:20,361970,2022-04-04,10:12:19,F,14,104,212,125,0.509,26.7,0.715
2022-04-04 10:12:30,372272,2022-04-04,10:12:29,F,15,100,199,190,0.497,39.7,0.715
2022-04-04 10:12:40,382572,2022-04-04,10:12:40,F,16,100,182,285,0.451,54,0.715
2022-04-04 10:12:50,392870,2022-04-04,10:12:50,F,17,100,160,420,0.375,66.2,0.715
2022-04-04 10:13:01,403167,2022-04-04,10:13:00,F,18,95,138,625,0.312,81.9,0.715
2022-04-04 10:13:04,406030,2022-04-04,10:13:03,SLCE,,Light Curve end ,,,,,
2022-04-04 10:14:09,470967,2022-04-04,10:14:08,SLCS,,Light Curve start ,,,,,
2022-04-04 10:14:09,470967,2022-04-04,10:14:08,REG1,,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.019, ETRmPot: 72.363 ) ",,,,,
2022-04-04 10:14:09,470967,2022-04-04,10:14:08,REG2,,"#1: alpha: 0.237, ETRm: 80.369, Ik: 338.832 ",,,,,
2022-04-04 10:14:10,472658,2022-04-04,10:14:10,FO,19,104,388,0,0.732,0,0.732
2022-04-04 10:14:21,482961,2022-04-04,10:14:20,F,20,153,356,45,0.57,10.8,0.732
2022-04-04 10:14:31,493256,2022-04-04,10:14:30,F,21,142,327,66,0.566,15.7,0.732
2022-04-04 10:14:41,503560,2022-04-04,10:14:41,F,22,129,307,90,0.58,21.9,0.732
2022-04-04 10:14:51,513854,2022-04-04,10:14:51,F,23,124,282,125,0.56,29.4,0.732
2022-04-04 10:15:02,524156,2022-04-04,10:15:01,F,24,118,254,190,0.535,42.7,0.732
2022-04-04 10:15:12,534447,2022-04-04,10:15:12,F,25,115,210,285,0.452,54.1,0.732
2022-04-04 10:15:22,544754,2022-04-04,10:15:22,F,26,107,168,420,0.363,64,0.732
2022-04-04 10:15:33,555049,2022-04-04,10:15:32,F,27,95,136,625,0.301,79,0.732
