plate,well,number,rep,stage,name,note
p1,A1,1,B2,remin_T8,B2-T8-10PM,
p1,A2,2,R1,remin_T5,R1-T5,
p1,A3,3,C2,remin_T7,C2-T7,
p1,A4,4,N3,remin_T8,N3-T8,
p1,A5,5,R1,remin_T7,R1-T7,
p1,A6,6,C2,remin_T3,C2-T3,
p1,A7,7,N1,remin_T6,N1-T6,
p1,A8,8,N2,remin_T5,N2-T5,
p1,A9,9,C3,remin_T6,C3-T6,
p1,A10,10,B3,remin_T7,B3-T7,
p1,A11,11,B1,remin_T6,B1-T6,
p1,A12,12,N1,remin_T10,N1-T10,
p1,B1,13,R3,remin_T9,R3-T9,
p1,B2,14,N2,remin_T9,N2-T9,duplicate printed
p1,B3,15,C1,remin_T7,C1-T7,
p1,B4,16,N2,remin_T9,N2-T9,duplicate handwritten
p1,B5,17,B3,remin_T5,B3-T5,
p1,B6,18,B3,remin_T3,B3-T3,
p1,B7,19,N3,remin_T7,N3-T7,
p1,B8,20,R2,remin_T5,R2-T5,
p1,B9,21,C2,remin_T5,C2-T5,
p1,B10,22,C3,remin_T7,C3-T7,
p1,B11,23,N1,remin_T7,N1-T7,
p1,B12,24,R1,remin_T6,R1-T6,
p1,C1,25,R1,remin_T8,R1-T8,
p1,C2,26,C2,remin_T6,C2-T6,
p1,C3,27,B1,remin_T8,B1-T8,
p1,C4,28,C2,remin_T8,C2-T8,
p1,C5,29,B3,remin_T9,B3-T9,
p1,C6,30,C3,remin_T10,C3-T10,
p1,C7,31,C2,remin_T9,C2-T9,
p1,C8,32,N3,remin_T5,N3-T5,
p1,C9,33,B2,remin_T6,B2-T6,
p1,C10,34,R2,remin_T7,R2-T7,
p1,C11,35,C1,remin_T9,C1-T9,
p1,C12,36,B1,remin_T3,B1-T3,
p1,D1,37,R1,remin_T9,R1-T9,
p1,D2,38,R3,remin_T6,R3-T6,
p1,D3,39,R3,remin_T7,R3-T7,
p1,D4,40,B3,remin_T8,B3-T8,
p1,D5,41,N2,remin_T8,N2-T8,
p1,D6,42,N3,remin_T10,N3-T10,
p1,D7,43,B1,remin_T5,B1-T5,
p1,D8,44,B3,remin_T10,B3-T10,
p1,D9,45,B2,remin_T2,B2-T2,Duplicate handwritten no guess
p1,D10,46,R1,remin_T1,R1-T1,
p1,D11,47,R1,remin_T2,R1-T2,
p1,D12,48,C2,remin_T2,C2-T2,
p1,E1,49,N2,remin_T6,N2-T6,
p1,E2,50,B1,remin_T7,B1-T7,
p1,E3,51,B2,remin_T9,B2-T9,
p1,E4,52,C3,remin_T5,C3-T5,
p1,E5,53,N2,remin_T7,N2-T7,
p1,E6,54,B2,remin_T1,B2-T1,
p1,E7,55,R2,remin_T8,R2-T8,
p1,E8,56,R2,remin_T6,R2-T6,
p1,E9,57,C1,remin_T2,C1-T2,
p1,E10,58,B3,remin_T1,B3-T1,
p1,E11,59,B1,remin_T2,B1-T2,
p1,E12,60,R2,remin_T2,R2-T2,
p1,F1,61,B2,remin_T5,B2-T5,
