Experiment Name:,TURNT_Plate2_6_16_22_GATED

Tube Name:,Sample ID:,Volume(μL):,All Events ,Include Events,HBacteria Events,PEukaryote Events,Synococcus Events,Prochlorococcus Events,All Events  Mean Chla-A,Include Mean Chla-A,HBacteria Mean Chla-A,PEukaryote Mean Chla-A,Synococcus Mean Chla-A,Prochlorococcus Mean Chla-A
01-Well-A1,,75.1,287392,217772,189558,6,41,76,448.4,237.7,34.2,73134.0,48083.0,3110.2
01-Well-A2,,75.0,56160,41080,32112,56,96,162,2129.6,2315.6,51.8,103358.0,81434.1,3164.9
01-Well-A3,,75.0,149255,112253,102040,0,13,30,106.8,47.6,17.3,####,58475.0,2015.2
01-Well-A4,,75.0,94823,70519,61093,112,42,213,5750.3,4517.0,43.0,129333.3,67728.7,2835.9
01-Well-A5,,75.0,84705,62947,52902,133,33,324,1426.6,1173.4,41.8,96306.6,30107.0,2779.3
01-Well-A6,,75.0,119426,89137,77708,111,45,171,1693.9,1597.8,35.7,153203.1,40212.8,3132.1
01-Well-A7,,75.0,25805,17219,14700,38,437,610,3672.8,3551.9,20.1,198567.7,40069.6,3707.6
01-Well-A8,,75.1,96477,71212,65833,32,353,471,590.6,586.0,21.8,262838.1,30059.3,2624.2
01-Well-A9,,75.1,52480,36800,32626,22,503,448,1157.9,1097.0,32.8,235467.0,20399.8,3427.8
01-Well-A10,,75.0,87358,63591,58228,26,376,530,443.7,416.7,24.9,156231.5,34934.6,3032.4
01-Well-A11,,75.0,89433,64698,59951,34,388,465,422.9,446.5,22.0,232326.2,33638.6,3245.8
01-Well-A12,,75.0,33755,21337,18419,27,442,680,1910.7,2389.8,24.7,144972.3,43396.9,4036.8
01-Well-B1,,75.0,83847,58716,49019,95,113,274,2658.1,3210.2,49.7,96031.0,84379.5,2781.3
01-Well-B2,,75.1,50488,33827,28553,46,51,253,2326.9,2576.3,68.4,106772.2,46405.6,2755.5
01-Well-B3,,75.1,70853,49579,41792,64,109,241,2147.8,2230.9,51.4,116360.0,51208.9,3179.3
01-Well-B4,,75.1,77986,54774,49659,73,23,145,3864.8,3284.0,39.0,148917.8,42885.3,3116.6
01-Well-B5,,75.0,85662,59951,54817,2,111,14,104.0,102.2,14.3,613438.6,20374.6,3311.2
01-Well-B6,,75.1,68995,47694,44811,6,257,29,1320.6,644.0,13.3,479735.8,29439.8,3099.0
01-Well-B7,,75.1,27647,15305,12885,23,405,580,2208.9,2005.7,22.4,180287.1,42711.0,3717.1
01-Well-B8,,75.1,83296,57040,52839,38,383,453,443.0,521.3,25.6,275509.9,33897.6,3241.7
01-Well-B9,,75.1,67446,45272,41083,29,385,370,679.2,665.2,27.6,281778.2,34187.5,2904.2
01-Well-B10,,75.0,28834,15008,12737,30,358,509,1450.8,2070.3,24.2,274072.2,44048.7,3653.0
01-Well-B11,,75.0,91676,61150,54725,61,48,202,3292.7,3407.8,49.7,109759.3,70310.2,3365.3
01-Well-B12,,75.1,34574,17759,14885,21,436,671,1535.8,1864.8,23.0,186217.3,40777.6,3474.0
01-Well-C1,,75.0,117882,81430,70022,60,104,217,875.7,1080.6,60.9,151792.6,60682.7,3157.9
01-Well-C2,,75.1,78898,52999,44399,46,67,130,711.9,669.9,42.8,137141.7,53112.8,2723.3
01-Well-C3,,75.0,36877,20225,16822,34,448,626,1560.4,2004.0,33.8,167235.8,37895.0,3933.8
01-Well-C4,,75.0,98148,65668,56957,348,186,366,3947.4,4230.0,48.4,95737.5,26140.9,3155.9
01-Well-C5,,75.1,57672,36262,32061,8,457,45,1274.7,1298.3,22.2,300017.7,47646.9,3227.2
01-Well-C6,,75.1,107344,73821,68087,16,69,87,1015.6,642.5,26.2,130172.9,26759.8,2909.1
01-Well-C7,,75.0,38167,18108,15150,30,460,670,1315.3,1753.9,25.4,167146.9,45326.3,3706.0
01-Well-C8,,75.0,83185,53219,49218,20,407,578,650.2,688.8,26.8,212815.7,38563.3,3632.1
01-Well-C9,,75.1,112677,73569,64637,150,89,191,3317.0,3022.9,33.0,122154.3,27763.5,2989.6
01-Well-C10,,75.0,64077,39226,33716,13,78,95,917.5,1263.4,44.8,50539.5,37595.6,3106.9
01-Well-C11,,75.0,75481,47205,41093,16,107,225,561.9,631.2,54.0,102972.8,34236.1,2586.8
01-Well-C12,,75.0,37275,18103,15194,34,496,635,2046.9,3126.6,21.8,235323.5,39199.4,3627.1
01-Well-D1,,75.1,86659,57308,50815,3,166,27,258.1,298.3,23.1,159495.4,33683.3,3033.7
01-Well-D2,,75.0,131002,89208,79508,53,109,150,776.8,808.6,44.1,143999.6,60619.8,2984.6
01-Well-D3,,75.1,123800,84405,80220,25,332,501,290.3,306.2,21.7,219326.6,37553.6,3796.2
01-Well-D4,,75.1,107089,69458,63299,76,50,217,2538.4,3209.8,37.9,112049.4,37659.5,3160.9
01-Well-D5,,75.0,98628,65423,57742,139,89,369,3646.7,3519.8,43.3,103609.9,24818.2,3206.8
01-Well-D6,,75.0,65171,39667,38046,1,93,41,388.9,546.2,20.8,1475876.5,31900.9,2821.6
01-Well-D7,,75.0,38275,18375,15664,32,496,562,1685.3,2848.4,26.7,193717.9,41640.2,3974.0
01-Well-D8,,75.0,110912,72932,68266,26,373,388,432.7,355.2,30.1,292975.4,31682.8,2524.3
01-Well-D9,,75.0,75967,46672,41423,18,89,138,2013.8,2996.1,45.6,133883.6,61439.6,2871.0
01-Well-D10,,75.1,67997,41868,36581,21,60,90,742.9,320.3,42.7,48245.1,21829.5,2306.7
01-Well-D11,,75.0,36707,17592,14908,31,445,588,1306.3,2071.0,26.9,237486.4,38549.4,3914.3
01-Well-D12,,75.0,87298,54827,50334,52,34,133,2535.9,1566.8,33.6,57678.2,34660.2,2850.3
01-Well-E1,,75.0,76551,46879,41319,1,69,20,174.4,183.2,25.7,24812.4,33249.2,2720.3
01-Well-E2,,75.0,72911,42904,36015,27,80,181,1229.5,1499.9,61.0,315521.1,97100.7,2913.7
01-Well-E3,,75.0,85941,52963,49438,22,377,555,483.2,565.3,27.8,192762.6,43515.6,3988.1
01-Well-E4,,75.1,106042,68673,63614,39,137,163,1803.1,2002.9,28.3,200086.0,16413.2,2733.6
01-Well-E5,,75.0,89185,56856,51694,47,78,154,1639.7,2050.1,35.6,140099.7,19713.1,2841.0
01-Well-E6,,75.0,91737,56033,43815,48,20,77,186.6,206.1,24.2,107584.6,23990.8,2342.3
01-Well-E7,,75.0,41169,18324,15386,33,503,620,1186.9,2040.6,29.1,277376.3,42040.7,3814.4
01-Well-E8,,75.0,44194,20515,17339,27,455,542,1140.5,1407.0,37.3,196934.3,38783.1,3946.3
01-Well-E9,,75.0,75738,45678,40002,51,45,177,5989.8,5941.1,43.1,145636.3,54087.0,3402.2
01-Well-E10,,75.1,44004,18845,16105,22,469,547,1234.3,2029.3,27.0,248856.5,39846.4,3908.7
01-Well-E11,,75.0,41927,18899,15720,34,455,675,1437.7,2084.0,28.3,213973.0,40783.9,3510.1
01-Well-E12,,75.1,168856,114712,89774,81,49,70,222.2,216.8,19.6,118831.2,34967.2,2302.2
01-Well-F1,,75.1,90991,55648,46732,40,211,202,1567.0,1887.6,49.3,80591.3,50519.6,2547.6
01-Well-F2,,75.0,121054,76105,66005,72,105,203,1148.5,1356.3,58.4,102952.6,77280.6,3032.7
01-Well-F3,,75.0,151761,101684,88762,40,56,94,212.0,261.0,22.5,102547.2,23135.8,2230.3
01-Well-F4,,75.0,72714,41955,39410,10,116,37,829.5,1079.8,23.4,406478.2,31702.0,2778.4
01-Well-F5,,75.0,84292,52915,47590,39,45,106,2111.9,2597.2,38.3,134626.6,28227.3,3015.4
01-Well-F6,,75.0,38021,16210,13631,37,386,591,1158.0,2046.6,37.2,310618.3,45372.7,3643.3
01-Well-F7,,75.0,155245,107160,102370,26,322,435,288.4,243.1,27.5,157202.0,32528.3,2700.1
01-Well-F8,,75.0,151311,104604,99090,17,345,292,239.8,231.8,29.6,153567.0,33037.8,2502.3
