individual,weight_mg,ug_N,N_15_perc_vs_air,ug_C,C13_perc_vs_vpdb
C5-2,2.366,23.1,6.8,813.5,-16.3
N5-2,2.1311,19.4,6.7,684.2,-14.6
N3-2,1.9637,17.8,6.2,668.4,-14.4
C2-1,2.6427,16.4,7.5,862.6,-14.0
R2-1,1.7603,17.7,6.2,617.2,-14.0
C2-2,2.4056,16.4,7.7,789.5,-13.9
C5-1,2.3965,19.6,7.5,795.5,-13.8
N5-1,2.2918,18.6,7.4,732.1,-13.8
R1-1,2.7772,17.2,6.6,820.6,-13.8
N3-1,2.7129,23.2,6.9,870.9,-13.4
C4-1,2.3091,20.2,6.4,788.6,-13.2
R5-2,2.6422,25.6,6.4,915.0,-13.0
R5-1,1.9659,16.9,6.4,679.7,-12.8
N1-1,2.0556,15.4,6.4,617.1,-12.6
N4-1,2.5756,21.4,7.1,785.2,-12.5
R3-1,2.1448,19.1,6.3,714.2,-12.5
N1-2,2.7999,21.8,7.1,808.8,-12.4
C4-2,2.9601,30.8,6.8,1056.0,-12.3
R3-2,2.256,19.1,6.9,758.4,-12.3
C3-1,2.949,22.7,7.3,940.1,-12.2
R4-2,2.4045,20.1,6.5,778.9,-12.2
C3-2,3.3695,25.2,7.1,1098.0,-12.1
N2-1,2.7088,20.1,7.0,864.7,-12.0
N4-2,2.6473,24.4,6.6,879.1,-12.0
C1-2,2.5772,18.4,7.8,798.8,-11.8
C1-1,2.5593,18.4,7.3,794.7,-11.7
R4-1,2.9928,28.1,6.6,979.4,-11.7
R1-2,2.7176,21.7,7.1,914.8,-11.6
R2-2,2.7986,22.5,7.4,952.1,-11.4
N2-2,2.6194,21.9,6.8,808.4,-10.7
