sampleID,remin_rep,treatment,fcm_timepoint,time_taken,hr_elapsed,date
TURNT_039,B1,blank,T0_9pm,21:00,1,2022-04-06
TURNT_040,B2,blank,T0_9pm,21:00,1,2022-04-06
TURNT_041,B3,blank,T0_9pm,21:00,1,2022-04-06
TURNT_042,C1,control,T0_9pm,21:00,1,2022-04-06
TURNT_043,C2,control,T0_9pm,21:00,1,2022-04-06
TURNT_044,C3,control,T0_9pm,21:00,1,2022-04-06
TURNT_045,N1,nutrient,T0_9pm,21:00,1,2022-04-06
TURNT_046,N2,nutrient,T0_9pm,21:00,1,2022-04-06
TURNT_047,N3,nutrient,T0_9pm,21:00,1,2022-04-06
TURNT_048,R1,recharge,T0_9pm,21:00,1,2022-04-06
TURNT_049,R2,recharge,T0_9pm,21:00,1,2022-04-06
TURNT_050,R3,recharge,T0_9pm,21:00,1,2022-04-06
TURNT_074,B1,blank,T1_12am,0:00,4,2022-04-07
TURNT_075,B2,blank,T1_12am,0:00,4,2022-04-07
TURNT_076,B3,blank,T1_12am,0:00,4,2022-04-07
TURNT_077,C1,control,T1_12am,0:00,4,2022-04-07
TURNT_078,C2,control,T1_12am,0:00,4,2022-04-07
TURNT_079,C3,control,T1_12am,0:00,4,2022-04-07
TURNT_080,N1,nutrient,T1_12am,0:00,4,2022-04-07
TURNT_081,N2,nutrient,T1_12am,0:00,4,2022-04-07
TURNT_082,N3,nutrient,T1_12am,0:00,4,2022-04-07
TURNT_083,R1,recharge,T1_12am,0:00,4,2022-04-07
TURNT_084,R2,recharge,T1_12am,0:00,4,2022-04-07
TURNT_085,R3,recharge,T1_12am,0:00,4,2022-04-07
TURNT_086,B1,blank,T2_6am,6:00,6:00,2022-04-07
TURNT_087,B2,blank,T2_6am,6:00,10,2022-04-07
TURNT_088,B3,blank,T2_6am,6:00,10,2022-04-07
TURNT_089,C1,control,T2_6am,6:00,10,2022-04-07
TURNT_090,C2,control,T2_6am,6:00,10,2022-04-07
TURNT_091,C3,control,T2_6am,6:00,10,2022-04-07
TURNT_092,N1,nutrient,T2_6am,6:00,10,2022-04-07
TURNT_093,N2,nutrient,T2_6am,6:00,10,2022-04-07
TURNT_094,N3,nutrient,T2_6am,6:00,10,2022-04-07
TURNT_095,R1,recharge,T2_6am,6:00,10,2022-04-07
TURNT_096,R2,recharge,T2_6am,6:00,10,2022-04-07
TURNT_097,R3,recharge,T2_6am,6:00,10,2022-04-07
TURNT_098,B1,blank,T3_10am,10:00,14,2022-04-07
TURNT_099,B2,blank,T3_10am,10:00,14,2022-04-07
TURNT_100,B3,blank,T3_10am,10:00,14,2022-04-07
TURNT_101,C1,control,T3_10am,10:00,14,2022-04-07
TURNT_102,C2,control,T3_10am,10:00,14,2022-04-07
TURNT_103,C3,control,T3_10am,10:00,14,2022-04-07
